Order Number,Weight (lbs),Volume (in3),Pallets,,
31859676,31050,2123,36,,
84937771,4353,479,7,,
47231795,4641,383,2,,
99824259,12077,524,8,,
49942201,9713,382,25,,
57224041,9620,1714,14,,
83007689,32875,686,6,,
82310839,20353,2020,21,,
43648566,21981,2038,20,,
95355299,18176,628,8,,
37880472,12458,3106,54,,
85119040,2853,553,4,,
77262317,9763,566,10,,
37730242,23753,10,15,,
17410508,28681,127,56,,
51959511,24044,850,51,,
30648749,22958,3102,18,,
97560046,16221,218,30,,
89897625,23893,2348,25,,
65041891,4639,1713,15,,
94056916,7683,452,18,,
90395250,19281,2641,14,,
75645620,8472,368,9,,
29525445,17298,2189,16,,
52090828,22458,790,10,,
74224322,40284,772,58,,
85318673,22035,202,1,,
12569243,22190,1987,28,,
90967082,5423,626,1,,
55049695,3674,465,5,,
49625080,1844,3116,7,,
33326815,15138,1562,16,,
93713908,6984,382,6,,
55707924,21917,2591,27,,
68474125,6696,1539,25,,
23227402,8222,322,1,,
58044569,18855,1670,14,,
91749539,12419,1175,46,,
94230879,35714,3148,23,,
41312740,15779,2102,39,,
16089306,3459,232,9,,
24976285,4981,3048,21,,
86326745,8564,512,7,,
44317668,19868,1148,29,,
26492002,32892,433,28,,
73341105,37885,1482,6,,
94077489,17364,2287,16,,
55052191,11069,1655,24,,
93374760,6582,364,21,,
33102147,14078,294,10,,
33846915,11690,2238,16,,
49016561,42804,516,41,,
64907228,13179,512,2,,
42325351,15922,1849,43,,
83650563,17040,2126,20,,
42231034,23663,2916,52,,
72869889,18966,1923,27,,
74394137,10557,1308,11,,
89551389,3233,133,1,,
29592981,15045,2519,13,,
30407324,29352,1662,15,,
22513207,20558,1833,28,,
15362668,14327,640,18,,
67326549,12111,1492,16,,
65674858,14277,338,5,,
46847587,25395,2196,27,,
22289559,15491,271,27,,
76910487,26599,2420,20,,
21535141,697,88,4,,
74578173,18283,2174,35,,
89603312,2296,851,13,,
41051951,21608,2389,45,,
13498139,17856,175,11,,
66051098,3744,431,8,,
87249409,30606,2222,38,,
20671285,15974,2254,21,,
48823764,28419,829,14,,
20830316,1654,508,10,,
25702298,14827,266,7,,
13813473,4381,39,3,,
18069445,879,120,3,,
84076063,4205,718,1,,
45398721,1835,49,1,,
56892219,981,507,5,,
63414978,21495,1517,30,,
61196577,14751,698,8,,
93913528,28869,1938,33,,
29183252,37737,1564,60,,
88009879,2322,2657,7,,
30039696,22538,2369,31,,
38569876,33733,2518,37,,
17774452,12430,1063,10,,
51374865,14994,544,9,,
65682155,31310,1283,30,,
25485706,23332,1130,17,,
89824466,26672,2030,23,,
34042247,4335,233,10,,
13043675,18925,1507,29,,
15197796,18606,2509,17,,
78723986,720,739,4,,
89843404,24960,1031,4,,
77330809,8679,198,9,,
45687868,19824,2521,36,,
71315887,7358,434,5,,
73041789,4474,676,4,,
83629497,2264,185,2,,
40420974,6591,712,6,,
64578195,10726,566,4,,
22073771,886,523,2,,
16872889,2339,264,1,,
55162125,7310,496,5,,
30780674,2810,764,8,,
43791101,33335,2290,30,,
30654749,323,829,4,,
56517394,19652,1324,60,,
82028706,21042,2394,17,,
94570748,736,66,2,,
61704862,15740,950,19,,
56970467,18783,2558,21,,
78870693,13257,623,2,,
61520681,29897,1862,21,,
85178771,11080,489,3,,
28023503,18916,1293,4,,
78405802,4972,1893,12,,
46395501,14434,98,22,,
61985375,7841,58,12,,
31113424,29275,2470,15,,
35061105,12209,263,5,,
16055716,9415,86,7,,
53292435,23495,85,15,,
67915403,20094,1308,28,,
93126763,18838,1654,13,,
28478121,2,205,1,,
73499381,20385,1983,41,,
70654882,29565,881,51,,
13330612,7724,79,9,,
76188602,15333,1572,25,,
41659420,14042,477,1,,
51236342,24676,2117,45,,
71880619,7817,107,5,,
12541366,30875,2836,51,,
40029520,97,760,6,,
81816913,21961,760,26,,
43203808,14908,38,8,,
72154526,9711,322,20,,
19275061,13584,646,4,,
85970836,18289,2289,11,,
30982070,11896,446,9,,
32588901,23850,1603,20,,
38662632,14045,302,3,,
43682968,2904,726,6,,
32522171,16045,1883,22,,
30886297,21545,1948,40,,
82513588,23722,2548,32,,
75284311,12948,2209,11,,
38127748,31397,436,25,,
58755241,11637,1363,4,,
17610240,25689,75,53,,
67122633,11775,606,5,,
80458451,24107,1595,17,,
35219401,4113,523,9,,
37151240,17633,1579,1,,
81139859,7576,663,22,,
98741704,2936,945,3,,
37267436,23461,200,21,,
41712370,16195,2206,44,,
89833928,21056,1717,26,,
90961227,8386,226,6,,
65660179,2875,286,25,,
35749913,12681,160,9,,
85339247,12375,899,30,,
95388961,2506,523,7,,
58106041,16031,1633,16,,
28204730,11038,2180,7,,
54907431,17019,1690,16,,
79003940,30506,1538,16,,
33758453,6395,3494,16,,
49674740,15503,1769,17,,
31316251,13091,446,10,,
70590586,15986,846,6,,
98128588,14159,469,6,,
45228785,22249,2201,41,,
15517139,8770,171,2,,
39331631,24994,2220,37,,
76153477,10251,369,8,,
54188577,30369,2113,25,,
99918938,34380,289,32,,
58557893,19568,823,23,,
40652083,18490,1918,25,,
25172159,28245,2363,31,,
95582218,10136,37,6,,
75595311,13918,2836,12,,
90972832,23441,2139,16,,
54171985,10158,614,10,,
65534534,6116,1240,7,,
72659241,32708,433,52,,
61665344,22366,407,18,,
36340624,1989,61,2,,
42239109,9515,110,7,,
59116773,21654,1953,29,,
47651903,26702,2311,35,,
93765422,28928,2220,19,,
22384445,19197,2062,53,,
64340223,32302,736,23,,
57235304,20525,458,28,,
55175927,8106,61,27,,
29185766,17912,384,4,,
27350399,10137,1387,24,,
62123461,28482,1928,35,,
77742641,16694,2434,44,,
17511338,2365,149,7,,
81407369,39687,1886,18,,
47362460,21784,2331,19,,
73365392,23308,593,22,,
82441193,3246,679,7,,
11093440,23442,1772,47,,
47936445,29732,462,42,,
65689064,21439,2545,35,,
43600676,6661,664,4,,
97808076,16097,1570,40,,
41738910,2139,953,14,,
71192542,22934,1412,11,,
71669758,6048,567,10,,
69069164,31586,2530,37,,
98684649,9800,257,1,,
47572136,20442,1507,18,,
67221914,18395,2394,7,,
72726403,18377,2278,24,,
16303914,13501,67,29,,
75785562,23028,1046,13,,
52442794,20687,2416,37,,
86473193,42993,193,14,,
85832094,22888,1448,4,,
70286807,28710,2434,29,,
28949197,34653,2255,28,,
31148941,1390,259,1,,
30246758,1080,1692,5,,
83104403,33437,2059,35,,
45959572,13293,634,1,,
94457179,13400,119,1,,
18312530,7451,83,5,,
45878017,11349,410,6,,
64799030,6310,338,7,,
29597752,30393,647,23,,
82306983,19655,2014,35,,
29783510,31075,1909,27,,
13495136,495,1183,4,,
21129473,14900,631,27,,
94386795,23808,261,4,,
54884953,25328,2432,35,,
28954585,34918,3391,29,,
55453965,1844,675,3,,
56155991,3228,597,9,,
80485111,12335,666,18,,
56476013,6179,558,3,,
75655210,19326,1782,23,,
40701903,25206,2414,19,,
53138022,21458,1864,24,,
65247190,41,296,1,,
45255933,10647,378,8,,
50245609,24138,1789,22,,
90179832,9149,31,9,,
49349775,6112,2721,15,,
29841919,13712,1594,1,,
27568525,16748,1585,42,,
82360815,18838,1647,43,,
26271229,2203,745,6,,
40901354,3842,692,1,,
59072266,8053,1059,14,,
48079506,5856,104,3,,
64817816,26427,2822,7,,
42882205,13448,3064,12,,
92661595,23947,239,7,,
58488661,18355,1571,20,,
27495674,21360,2435,44,,
34528642,13487,174,1,,
92355704,11340,405,20,,
84814522,7386,608,8,,
59811698,4911,762,12,,
53376357,32210,686,35,,
81553387,24890,2348,5,,
70684574,10540,316,3,,
19058548,22821,1939,36,,
36314564,4340,2822,16,,
81060601,23212,329,36,,
54378683,31610,1909,26,,
62952966,466,233,5,,
11830395,37812,1999,7,,
61095390,36951,2851,33,,
57304062,14007,654,15,,
22559789,32142,736,20,,
40188339,35260,1613,20,,
51693795,1182,169,6,,
77417648,25873,1702,40,,
88721169,30525,186,20,,
59427579,38537,1758,36,,
56463921,19061,2148,42,,
47774250,7705,454,8,,
81845234,30010,2038,24,,
77126784,22806,2534,40,,
61798544,5927,733,5,,
96505775,6073,33,2,,
99951826,29341,1820,37,,
21757191,15728,806,4,,
74620619,17717,2541,18,,
62986822,24718,3202,10,,
18468580,9300,798,10,,
35200537,15443,2170,35,,
91612246,12537,279,4,,
44359987,14620,733,2,,
21580901,676,1671,5,,
58810469,15319,1065,22,,
89649059,33867,1808,43,,
86700066,1916,98,8,,
43118612,29558,2851,58,,
75628458,23170,294,22,,
81321032,4294,525,13,,
80598556,14723,1588,38,,
93855226,40914,1803,25,,
54230925,18225,188,19,,
11097901,4123,592,12,,
20443053,25532,2402,19,,
19702106,17353,1680,20,,
76109826,13408,368,4,,
77096983,4685,1721,20,,
93223646,1876,1483,11,,
54930836,15670,3172,6,,
27831698,32308,686,55,,
75227433,10458,687,22,,
13078494,8705,707,8,,
90287868,739,999,5,,
55028239,27998,434,43,,
13423472,24688,1874,16,,
78786702,22232,3036,47,,
84918834,30039,1426,23,,
82995021,7003,545,5,,
44615080,12678,217,6,,
42127697,28769,2666,31,,
55340500,4807,1604,21,,
66034910,1059,292,5,,
13730217,26962,1802,26,,
34778476,12863,602,5,,
13671643,8182,1080,2,,
89326707,6700,121,3,,
38577486,33130,2150,31,,
20531646,32288,686,26,,
97067091,8974,458,1,,
68985650,18788,2585,22,,
17907665,25875,2379,32,,
91891647,33039,1995,28,,
49091188,12116,116,8,,
59856278,43086,2769,33,,
41670666,7416,432,2,,
83161317,33171,2267,9,,
14996486,12386,445,2,,
89521153,22621,998,6,,
50099370,20367,2077,27,,
73944561,28016,618,32,,
47155263,31982,686,22,,
36587984,3623,485,8,,
25109477,11088,116,9,,
71578749,28435,1874,15,,
90358335,4399,225,7,,
35271392,23099,688,2,,
62639528,6262,72,3,,
92969829,4061,2716,8,,
23292627,8482,738,29,,
69570061,10491,2080,34,,
93532156,366,1448,4,,
22230853,36374,1671,3,,
86619419,5013,980,26,,
85065108,7925,630,1,,
99562480,6202,688,19,,
80055594,18569,1738,27,,
57967402,10843,1515,27,,
41060556,1881,417,10,,
76988534,544,122,5,,
40604676,1946,2402,2,,
58793079,32941,1907,22,,
29214309,18814,1542,11,,
23700259,11390,583,16,,
99930842,33895,1633,41,,
96290440,16114,2070,18,,
89897615,16338,2121,39,,
24915064,42281,2900,26,,
34719336,22251,262,11,,
84723237,15435,1867,35,,
24769811,213,298,1,,
83001249,21797,1535,35,,
45848286,724,254,9,,

73085672,34978,2300,43,,
73128713,22228,1972,22,,
73168405,23519,2264,20,,
73418953,31600,2447,35,,
73428853,16445,2339,30,,
73506142,9391,363,8,,
73533710,18418,2207,31,,
73644768,16579,1912,20,,
73831628,40606,3502,36,,
73907263,17991,1635,30,,
73921012,6551,1594,27,,
73956919,6829,1286,6,,
73960768,11505,406,6,,
74012404,12127,508,8,,
74163214,17450,1782,32,,
74219723,8066,543,8,,
74274006,36476,991,37,,
74318249,26570,2271,27,,
74386323,4171,674,10,,
74404621,23582,435,26,,
74431224,13764,302,8,,
74479790,30030,2443,30,,
74657577,1960,1242,7,,
74677479,11696,618,1,,
74692773,14798,185,2,,
74878985,10174,480,17,,
74949776,9544,479,5,,
75012827,16844,2518,29,,
75078490,14546,463,5,,
75301268,526,632,5,,
75469684,33024,736,34,,
75553143,12185,71,11,,
75571926,18101,1504,24,,
75651524,17687,1318,23,,
75665956,29608,943,28,,
75675949,14887,1467,30,,
75802557,25663,2479,26,,
76273037,39338,488,41,,
76400344,43802,54,41,,
76429146,10072,1491,32,,
76435473,3028,1673,9,,
76474021,9005,304,3,,
76636214,40246,2632,35,,
76839857,38599,3082,4,,
76899081,19430,1779,2,,
77040825,6938,1637,19,,
83188962,21152,2425,25,,
83294300,23747,2044,22,,
83303578,23512,2564,21,,
83356749,7874,59,6,,
83383640,21269,1811,36,,
83389159,11682,122,3,,
83417007,18860,88,29,,
83423741,16114,2582,39,,
83455928,10436,608,10,,
83475885,8553,487,3,,
83528024,24406,772,16,,
83548990,12447,1595,30,,
83731454,17448,22,28,,
83793674,3197,585,2,,
83860574,9279,644,2,,
83864489,12613,601,1,,
83943248,16729,1659,25,,
83958965,35286,836,36,,
84230923,6566,337,4,,
84333085,9882,188,7,,
84616750,3339,464,9,,
84659773,16705,1660,44,,
84665367,3432,1646,4,,
84964768,3005,2956,6,,
85118671,16448,1304,4,,
85236250,31297,1973,23,,
85296118,38263,2427,48,,
85306604,21924,1613,21,,
85546087,16538,1345,17,,
85585971,26978,517,14,,
85588445,18803,1545,10,,
85731791,11248,706,5,,
85896971,24212,2322,16,,
86187991,2045,914,4,,
86385504,14727,577,3,,
86464691,28543,2202,30,,
86882948,7249,191,13,,
87060902,7677,556,1,,
87189846,20043,851,13,,
87348561,3436,518,1,,
87358579,4890,149,25,,
87430422,16606,1588,15,,
87449606,13409,843,39,,
87498016,1135,1112,15,,
87617056,14928,251,10,,
87654946,136,1538,1,,
87714364,26819,1969,17,,
87846175,10594,911,5,,
87927610,6727,280,1,,
87941529,10560,274,2,,
87980578,722,148,5,,
87981724,29663,2015,38,,
88018618,3576,1582,21,,
88074177,4825,1251,17,,
88185945,6492,1496,3,,
88195561,40357,442,34,,
88275886,21634,531,26,,
88288793,2441,800,1,,
88301013,10965,2731,15,,
88498575,1103,564,8,,
88588001,5585,717,8,,
88604365,14836,1430,2,,
88666830,34307,1768,38,,
88693256,21565,1519,24,,
88708842,33469,2205,16,,
88709344,26621,2017,20,,
88821066,38849,2991,33,,
88842130,24347,1612,8,,
88848769,22281,1581,11,,
88960928,41832,838,8,,
88970241,13201,305,7,,
89010704,24976,706,29,,
89089951,15184,2463,17,,
89252984,33623,2445,32,,
89309989,6951,1053,22,,
89357542,37123,1229,37,,
89450551,19544,2092,44,,
89664243,2490,2134,11,,
89673485,9768,397,5,,
89698602,19180,1374,25,,
89772017,17051,2264,16,,
89884811,234,53,6,,
89972223,25535,1802,36,,
90139478,33479,1784,16,,
90313921,20858,1974,22,,
90427660,11301,1141,9,,
90459684,28896,1603,35,,
90460062,3152,76,9,,
90571742,9751,1137,35,,
90625561,10058,1730,32,,
90629724,31719,1814,22,,
90748645,39298,1371,12,,
90838453,6847,1539,21,,
90942164,12825,563,6,,
91224413,9322,567,3,,
91336127,1331,526,10,,
91414212,22883,2284,25,,
91438554,6648,73,2,,
91475874,22884,635,28,,
91646011,12496,443,6,,
91690275,31276,1564,28,,
91708989,32971,2038,21,,
91728749,16190,1857,27,,
91780199,3855,69,9,,
91890939,139,343,1,,
92026032,1157,103,3,,
92202565,34790,2162,29,,
92474608,17169,1699,26,,
92664960,41552,1923,27,,
92896992,26921,2187,16,,
92931090,20190,711,22,,
92961659,23092,1467,8,,
93251494,31742,1569,21,,
93619372,9846,439,22,,
93686301,21783,2408,42,,
93754802,41463,520,53,,
93816485,9244,156,7,,
93864917,15309,1146,30,,
94064110,20148,1947,45,,
94123478,23994,1121,7,,
94147522,13470,175,6,,
94219781,16651,1784,22,,
94276181,22079,2480,25,,
94342581,35838,3205,45,,
94453962,33968,1539,16,,
94636052,14959,354,8,,
94677527,17826,1703,29,,
94823021,24670,2691,36,,
94835482,22676,1821,43,,
95240409,11632,672,9,,
95345587,21063,2595,45,,
95493479,18325,2251,27,,
95634329,22359,1772,43,,
95691280,29210,2806,18,,
95756060,33506,3448,17,,
95904906,10136,1604,21,,
95924279,4838,2989,21,,
95984497,5939,1777,22,,
96413897,23046,2471,31,,
96536743,9409,2976,21,,
96542602,28920,1941,29,,
96757066,24978,870,25,,
96879739,1155,474,5,,
96922646,16909,1523,16,,





















































































































































































































































































































